Name	logFC	logCPM	LR	PValue	adj.p.value
ENSG00000204389_HSPA1A	3.13894168746937	7.57421051531481	471.954512609914	1.20352285566258e-104	1.77531656438788e-100
ENSG00000119508_NR4A3	4.12734098677339	5.09552428018027	307.2989860886	8.46507041146108e-69	6.24341268197312e-65
ENSG00000204388_HSPA1B	3.64684605630935	7.42833749353372	211.508018189099	6.43968246105687e-48	3.16639186610166e-44
ENSG00000132002_DNAJB1	2.35431587743187	7.13207661907976	156.254703627232	7.44748193063575e-36	2.7464451489702e-32
ENSG00000265142_MIR133A1HG	-1.02084683056069	7.29935053069222	120.745127745237	4.34518943008811e-28	1.28191778566459e-24
ENSG00000127528_KLF2	1.7244673712668	5.16768269806502	116.916480296467	2.99414462023903e-27	7.36110454885765e-24
ENSG00000120694_HSPH1	1.1172911946304	6.03740654681961	113.78302319696	1.45376880609886e-26	3.06350623696632e-23
ENSG00000081041_CXCL2	5.4815777902542	2.88719060529271	108.890368758617	1.71514756842582e-25	3.16251772273116e-22
ENSG00000154734_ADAMTS1	2.30291264375143	6.17099258591728	97.102345537463	6.58348618193677e-23	1.07903338521944e-19
ENSG00000149257_SERPINH1	1.87393265595337	4.79792499146206	94.7149578749772	2.19871468585932e-22	3.24332403311109e-19
ENSG00000164736_SOX17	2.2118873610462	2.45587412050313	91.5350671621723	1.09632054120376e-21	1.47016584575424e-18
ENSG00000143878_RHOB	0.909767523965511	6.14991799237372	82.4935046787171	1.06017951098751e-19	1.30322566388139e-16
ENSG00000075426_FOSL2	1.01962563022915	5.80193220729021	76.1606010137708	2.615075459006e-18	2.96730600736904e-15
ENSG00000108551_RASD1	2.36928678720514	2.59167383696363	73.242646746467	1.14651516091249e-17	1.20801750990143e-14
ENSG00000210082_MT-RNR2	0.653667577287209	14.4769740975443	67.4645376682001	2.14510932665027e-16	2.10950051182788e-13
ENSG00000173276_ZBTB21	2.02584297275082	2.1525661550513	64.7277343031174	8.59958898571126e-16	7.92828357051417e-13
ENSG00000161835_GRASP	2.34295319329771	3.69611939968273	62.524517948335	2.63148163505969e-15	2.28335209404503e-12
ENSG00000226958_RNA28S5	-1.52198193741637	5.67645303138204	61.4649657763838	4.50691581697091e-15	3.69341751200766e-12
ENSG00000152049_KCNE4	2.04698689988419	1.75939035441216	59.3586161474456	1.31403586671374e-14	1.02017595104707e-11
ENSG00000059804_SLC2A3	3.24058118155129	3.7435084336649	58.7103345545434	1.82679450991682e-14	1.34735229078915e-11
ENSG00000155657_TTN	0.399239261522581	14.7255538465092	58.2840523537357	2.26875775171068e-14	1.58623093862498e-11
ENSG00000108256_NUFIP2	0.715312403384596	5.36175744907798	58.2017017029826	2.36574338348244e-14	1.58623093862498e-11
ENSG00000168758_SEMA4C	1.32912230059763	3.63888805758316	58.0345056922396	2.57560127817009e-14	1.65185628062117e-11
ENSG00000178878_APOLD1	2.35032913161293	4.81767131228669	56.967227736905	4.43135290079224e-14	2.72362027664943e-11
ENSG00000105722_ERF	1.37113394333422	3.42872107938542	56.0823452523355	6.94983899815996e-14	4.1006830024743e-11
ENSG00000130164_LDLR	2.00326537121132	3.10760147787978	54.6247335088275	1.45887949999394e-13	8.27689673246561e-11
